PDBID	SCIENTIFIC_ORGANISM	EC_NUMBER	
3mv5	Homo sapiens 	2.7.11.1	
3mts	Homo sapiens 	2.1.1.43	
3tax	Homo sapiens 	2.4.1.255	
4hge	Homo sapiens 	2.7.10.2	
6jdw	Homo sapiens BL(21)DE3PLYSS	2.1.4.1	
3mtl	Homo sapiens 	2.7.11.22	
3mtf	Homo sapiens 	2.7.11.30	
2lul	Homo sapiens 	2.7.10.2	
1rct	Homo sapiens 	2.4.2.1	
3tac	Homo sapiens 	2.7.11.1	
3ggs	Homo sapiens 	2.4.2.1	
3gi3	Homo sapiens 	2.7.11.24	
3o78	Homo sapiens 	2.7.11.18	
3o77	Homo sapiens 	2.7.11.18	
1xoi	Homo sapiens 	2.4.1.1	
2lv9	Homo sapiens 	2.1.1.43	
3ggj	Homo sapiens 	2.4.2.8	
3ggf	Homo sapiens 	2.7.11.1	
1rbz	Homo sapiens 	2.1.2.2	
1rby	Homo sapiens 	2.1.2.2	
3ggc	Homo sapiens 	2.4.2.8	
1m7q	Homo sapiens 	2.7.11.24	
1m7n	Homo sapiens 	2.7.10.1	
1z29	Homo sapiens 	2.8.2.1	
1z28	Homo sapiens 	2.8.2.1	
1rbq	Homo sapiens 	2.1.2.2	
3gfw	Homo sapiens 	2.7.12.1	
1rbm	Homo sapiens 	2.1.2.2	
3gh2	Homo sapiens 	2.1.1.45	
1xnj	Homo sapiens 	2.7.1.25	
1xnj	Homo sapiens 	2.7.7.4	
3gh0	Homo sapiens 	2.1.1.45	
1ehw	Homo sapiens 	2.7.4.6	
1ktz	Homo sapiens 	2.7.11.30	
3zm9	Homo sapiens 	2.7.1.32	
3zm9	Homo sapiens 	2.7.1.82	
3gfe	Homo sapiens 	2.7.11.24	
2fgi	Homo sapiens 	2.7.10.1	
2lsk	Homo sapiens 	2.7.7.7	
1kv3	Homo sapiens 	2.3.2.13	
4ay6	Homo sapiens 	2.4.1.255	
1kv2	Homo sapiens 	2.7.11.24	
4ay5	Homo sapiens 	2.4.1.255	
1kv1	Homo sapiens 	2.7.11.24	
3gey	Homo sapiens 	2.4.2.30	
1rc1	Homo sapiens 	2.1.2.2	
1rc0	Homo sapiens 	2.1.2.2	
1xo2	Homo sapiens 	2.7.11.22	
3gg5	Homo sapiens 	2.1.1.45	
3gg3	Homo sapiens 	2.3.1.48	
1m6b	Homo sapiens 	2.7.10.1	
2ffv	Homo sapiens 	2.4.1.41	
3gep	Homo sapiens 	2.4.2.8	
1kta	Homo sapiens 	2.6.1.42	
2ffu	Homo sapiens 	2.4.1.41	
3gen	Homo sapiens 	2.7.10.2	
3o51	Homo sapiens 	2.7.11.1	
3o50	Homo sapiens 	2.7.11.1	
3mqm	Homo sapiens 	2.1.1.43	
1ksw	Homo sapiens 	2.7.10.2	
4avw	Homo sapiens 	2.4.2.30	
2ym8	Homo sapiens 	2.7.11.1	
4avu	Homo sapiens 	2.4.2.30	
2ym7	Homo sapiens 	2.7.11.1	
1m73	Homo sapiens 	2.4.2.1	
2ym6	Homo sapiens 	2.7.11.1	
2ym5	Homo sapiens 	2.7.11.1	
2ym4	Homo sapiens 	2.7.11.1	
4hcv	Homo sapiens 	2.7.10.2	
2ym3	Homo sapiens 	2.7.11.1	
4hcu	Homo sapiens 	2.7.10.2	
4hct	Homo sapiens 	2.7.10.2	
3gdx	Homo sapiens 	2.7.7.7	
4hco	Homo sapiens 	2.7.11.21	
4hck	Homo sapiens 	2.7.10.2	
3mr6	Homo sapiens 	2.7.7.7	
3mpt	Homo sapiens 	2.7.11.24	
3mr5	Homo sapiens 	2.7.7.7	
3mr3	Homo sapiens 	2.7.7.7	
3mr2	Homo sapiens 	2.7.7.7	
1eh8	Homo sapiens 	2.1.1.63	
1eh7	Homo sapiens 	2.1.1.63	
3o2m	Homo sapiens 	2.7.11.24	
1eh6	Homo sapiens 	2.1.1.63	
3gdh	Homo sapiens 	2.1.1	
3mpm	Homo sapiens 	2.7.10.2	
1kt8	Homo sapiens 	2.6.1.42	
1efn	Homo sapiens 	2.7.10.2	
4aw5	Homo sapiens 	2.7.10.1	
1m61	Homo sapiens 	2.7.10.2	
2yjs	Homo sapiens 	2.7.10.1	
3zim	Homo sapiens 	2.7.1.153	
3zim	Homo sapiens 	2.7.11.1	
2yjr	Homo sapiens 	2.7.10.1	
1efh	Homo sapiens 	2.8.2.14	
3mpa	Homo sapiens 	2.7.11.24	
4aw1	Homo sapiens 	2.7.11.1	
4aw0	Homo sapiens 	2.7.11.1	
1xkt	Homo sapiens 	2.3.1.38	
1xkt	Homo sapiens 	2.3.1.39	
1xkt	Homo sapiens 	2.3.1.41	
1xkt	Homo sapiens 	2.3.1.85	
3b8r	Homo sapiens 	2.7.10.1	
3gcv	Homo sapiens 	2.7.11.24	
3b8q	Homo sapiens 	2.7.10.1	
3gcu	Homo sapiens 	2.7.11.24	
3gcs	Homo sapiens 	2.7.11.24	
3gcq	Homo sapiens 	2.7.11.24	
3gcp	Homo sapiens 	2.7.11.24	
3b8k	Homo sapiens 	2.3.1.12	
1xkk	Homo sapiens 	2.7.10.1	
3mos	Homo sapiens 	2.2.1.1	
4aua	Homo sapiens 	2.7.11.22	
3mop	Homo sapiens 	2.7.11.1	
2yiy	Homo sapiens 	2.7.11.25	
2yix	Homo sapiens 	2.7.11.24	
2yiw	Homo sapiens 	2.7.11.24	
3zhp	Homo sapiens 	2.7.11.1	
1eem	Homo sapiens 	2.5.1.18	
2yit	Homo sapiens 	2.7.11.1	
1kqo	Homo sapiens 	2.7.7.1	
1kqo	Homo sapiens 	2.7.7.18	
2yis	Homo sapiens 	2.7.11.24	
1kqn	Homo sapiens 	2.7.7.1	
1kqn	Homo sapiens 	2.7.7.18	
2yir	Homo sapiens 	2.7.11.1	
2yiq	Homo sapiens 	2.7.11.1	
2fdb	Homo sapiens 	2.7.10.1	
4av1	Homo sapiens 	2.4.2.30	
3b95	Homo sapiens 	2.1.1.43	
4hc4	Homo sapiens 	2.1.1.125	
2a8w	Homo sapiens 	2.4.1.37	
2a8w	Homo sapiens 	2.4.1.40	
3o0z	Homo sapiens 	2.7.11.1	
1xjq	Homo sapiens 	2.7.1.25	
1xjq	Homo sapiens 	2.7.7.4	
2a8u	Homo sapiens 	2.4.1.37	
2a8u	Homo sapiens 	2.4.1.40	
3b7l	Homo sapiens 	2.5.1.1	
3b7l	Homo sapiens 	2.5.1.10	
3o23	Homo sapiens 	2.7.10.1	
1xjd	Homo sapiens 	2.7.11.13	
3zgw	Homo sapiens 	2.7.10.2	
3zgw	Homo sapiens 	2.7.11.1	
3b7b	Homo sapiens 	2.1.1.43	
4asz	Homo sapiens 	2.7.10.1	
4asx	Homo sapiens 	2.7.11.30	
2yhy	Homo sapiens 	2.7.1.60	
3o0g	Homo sapiens 	2.7.11.22	
1kr5	Homo sapiens 	2.1.1.77	
2yhw	Homo sapiens 	2.7.1.60	
2yhv	Homo sapiens 	2.7.10.1	
1kr2	Homo sapiens 	2.7.7.1	
1kr2	Homo sapiens 	2.7.7.18	
3b6r	Homo sapiens 	2.7.3.2	
3gc9	Homo sapiens 	2.7.11.24	
3gc8	Homo sapiens 	2.7.11.24	
3zgf	Homo sapiens 	2.4.1.37	
3zgf	Homo sapiens 	2.4.1.40	
3gc7	Homo sapiens 	2.7.11.24	
2a98	Homo sapiens 	2.7.1.127	
3o17	Homo sapiens 	2.7.11.24	
2a7q	Homo sapiens 	2.7.1.74	
3mo7	Homo sapiens 	2.4.2.10	
4ase	Homo sapiens 	2.7.10.1	
4asd	Homo sapiens 	2.7.10.1	
2a7o	Homo sapiens 	2.1.1.43	
2a91	Homo sapiens 	2.7.10.1	
3mo5	Homo sapiens 	2.1.1.43	
3mo2	Homo sapiens 	2.1.1.43	
3mo0	Homo sapiens 	2.1.1.43	
3zh8	Homo sapiens 	2.7.11.13	
2fbm	Homo sapiens 	2.3.1.48	
1m36	Homo sapiens 	2.3.1.48	
4at5	Homo sapiens 	2.7.10.1	
4at4	Homo sapiens 	2.7.10.1	
3zfl	Homo sapiens 	2.5.1.18	
4at3	Homo sapiens 	2.7.10.1	
2yi1	Homo sapiens 	2.7.1.60	
3gb9	Homo sapiens 	2.4.2.1	
3b71	Homo sapiens 	2.7.10.2	
3zfb	Homo sapiens 	2.5.1.18	
3gb2	Homo sapiens 	2.7.11.1	
3gb2	Homo sapiens 	2.7.11.26	
2fap	Homo sapiens 	2.7.11.1	
3sxs	Homo sapiens 	2.7.10.2	
3sxr	Homo sapiens 	2.7.10.2	
1m27	Homo sapiens 	2.7.10.2	
2yfx	Homo sapiens 	2.7.10.1	
2lmj	Homo sapiens 	2.7.10.2	
3sxg	Homo sapiens 	2.4.1.37	
3sxg	Homo sapiens 	2.4.1.40	
3sxe	Homo sapiens 	2.4.1.37	
3sxe	Homo sapiens 	2.4.1.40	
4as0	Homo sapiens 	2.7.11.1	
3sxd	Homo sapiens 	2.4.1.37	
3sxd	Homo sapiens 	2.4.1.40	
3sxc	Homo sapiens 	2.4.1.37	
3sxc	Homo sapiens 	2.4.1.40	
3sxb	Homo sapiens 	2.4.1.37	
3sxb	Homo sapiens 	2.4.1.40	
3sxa	Homo sapiens 	2.4.1.37	
3sxa	Homo sapiens 	2.4.1.40	
2a5u	Homo sapiens 	2.7.1.153	
2a5u	Homo sapiens 	2.7.11.1	
2fb8	Homo sapiens 	2.7.11.1	
3u9y	Homo sapiens 	2.4.2.30	
4aqc	Homo sapiens 	2.7.10.2	
3u9u	Homo sapiens 	2.7.10.1	
3swr	Homo sapiens 	2.1.1.37	
3u9n	Homo sapiens 	2.7.11.1	
1m17	Homo sapiens 	2.7.10.1	
2yex	Homo sapiens 	2.7.11.1	
2ln0	Homo sapiens 	2.3.1.48	
1m14	Homo sapiens 	2.7.10.1	
3u9h	Homo sapiens 	2.4.2.30	
2yer	Homo sapiens 	2.7.11.1	
4app	Homo sapiens 	2.7.11.1	
3zdi	Homo sapiens 	2.7.11.1	
3zdi	Homo sapiens 	2.7.11.26	
2a4z	Homo sapiens 	2.7.1.153	
2a4z	Homo sapiens 	2.7.11.1	
3u9c	Homo sapiens 	2.7.11.1	
3swc	Homo sapiens 	2.1.1.43	
3mjw	Homo sapiens 	2.7.1.153	
3mjw	Homo sapiens 	2.7.11.1	
3ml9	Homo sapiens 	2.7.1.153	
3ml9	Homo sapiens 	2.7.11.1	
3b3l	Homo sapiens 	2.7.1.3	
3ml8	Homo sapiens 	2.7.1.153	
3ml8	Homo sapiens 	2.7.11.1	
4apc	Homo sapiens 	2.7.11.1	
3u8w	Homo sapiens 	2.7.11.24	
3mjr	Homo sapiens 	2.7.1.74	
3sx8	Homo sapiens 	2.4.1.37	
3sx8	Homo sapiens 	2.4.1.40	
2a4l	Homo sapiens 	2.7.11.22	
3sx7	Homo sapiens 	2.4.1.37	
3sx7	Homo sapiens 	2.4.1.40	
3sx5	Homo sapiens 	2.4.1.37	
3sx5	Homo sapiens 	2.4.1.40	
3sx3	Homo sapiens 	2.4.1.37	
3sx3	Homo sapiens 	2.4.1.40	
3sx0	Homo sapiens 	2.1.1.43	
3mjg	Homo sapiens 	2.7.10.1	
4aot	Homo sapiens 	2.7.11.1	
3svh	Homo sapiens 	2.3.1.48	
3b2w	Homo sapiens 	2.7.10.2	
3b2v	Homo sapiens 	2.7.10.1	
3b2u	Homo sapiens 	2.7.10.1	
3b2t	Homo sapiens 	2.7.10.1	
2ydk	Homo sapiens 	2.7.11.1	
4aoj	Homo sapiens 	2.7.10.1	
2ydj	Homo sapiens 	2.7.11.1	
3miy	Homo sapiens 	2.7.10.2	
4aoi	Homo sapiens 	2.7.10.1	
2ydi	Homo sapiens 	2.7.11.1	
2a3r	Homo sapiens 	2.8.2.1	
4aof	Homo sapiens 	2.7.1.153	
4aof	Homo sapiens 	2.7.11.1	
3mk6	Homo sapiens 	2.7.1.33	
3sw9	Homo sapiens 	2.1.1.43	
3sw7	Homo sapiens human	2.7.11.22	
18gs	Homo sapiens 	2.5.1.18	
3u7u	Homo sapiens 	2.7.10.1	
3sw4	Homo sapiens human	2.7.11.22	
2ljr	Homo sapiens 	2.5.1.18	
1kku	Homo sapiens 	2.7.7.1	
1kku	Homo sapiens 	2.7.7.18	
4anx	Homo sapiens 	2.7.1.153	
4anx	Homo sapiens 	2.7.11.1	
4anw	Homo sapiens 	2.7.1.153	
4anw	Homo sapiens 	2.7.11.1	
4ap8	Homo sapiens 	2.8.1.12	
4anv	Homo sapiens 	2.7.1.153	
4anv	Homo sapiens 	2.7.11.1	
4anu	Homo sapiens 	2.7.1.153	
4anu	Homo sapiens 	2.7.11.1	
4ap7	Homo sapiens 	2.7.10.1	
4ap6	Homo sapiens 	2.4.1.221	
4ap5	Homo sapiens 	2.4.1.221	
2ycs	Homo sapiens 	2.7.11.1	
2ycr	Homo sapiens 	2.7.11.1	
3mia	Homo sapiens 	2.7.11.22	
3mia	Homo sapiens 	2.7.11.23	
2ycq	Homo sapiens 	2.7.11.1	
2a2z	Homo sapiens 	2.7.1.74	
1s9j	Homo sapiens 	2.7.12.2	
1s9i	Homo sapiens 	2.7.12.2	
2a2s	Homo sapiens 	2.5.1.18	
2a2r	Homo sapiens 	2.5.1.18	
2ycf	Homo sapiens 	2.7.11.1	
4anb	Homo sapiens 	2.7.12.2	
3u6v	Homo sapiens 	2.5.1.18	
3u88	Homo sapiens 	2.1.1.43	
3u87	Homo sapiens 	2.7.11.1	
3mj2	Homo sapiens 	2.7.10.2	
3mj1	Homo sapiens 	2.7.10.2	
3u85	Homo sapiens 	2.1.1.43	
2lk4	Homo sapiens 	2.7.10.2	
3mhk	Homo sapiens 	2.4.2.30	
3mhj	Homo sapiens 	2.4.2.30	
2a2d	Homo sapiens 	2.7.1.157	
2ybx	Homo sapiens 	2.7.1.149	
2a2c	Homo sapiens 	2.7.1.157	
2a2a	Homo sapiens 	2.7.11.1	
3u6j	Homo sapiens 	2.7.10.1	
4gyy	Homo sapiens 	2.4.1.255	
3u6i	Homo sapiens 	2.7.10.1	
3u6h	Homo sapiens 	2.7.10.1	
4gyw	Homo sapiens 	2.4.1.255	
2a38	Homo sapiens 	2.7.11.1	
3mgy	Homo sapiens 	2.7.11.24	
3fzt	Homo sapiens 	2.7.10.2	
3fzs	Homo sapiens 	2.7.10.2	
3mi9	Homo sapiens 	2.7.11.22	
3mi9	Homo sapiens 	2.7.11.23	
3fzr	Homo sapiens 	2.7.10.2	
3fzp	Homo sapiens 	2.7.10.2	
2ybe	Homo sapiens 	2.7.2.3	
3fzo	Homo sapiens 	2.7.10.2	
4gyh	Homo sapiens 	2.1.1.45	
2a30	Homo sapiens 	2.7.1.74	
3mi2	Homo sapiens 	2.4.2.10	
2a1h	Homo sapiens 	2.6.1.42	
3mgi	Homo sapiens 	2.7.7.7	
3mgh	Homo sapiens 	2.7.7.7	
4an9	Homo sapiens 	2.7.12.2	
4alw	Homo sapiens 	2.7.11.1	
4alv	Homo sapiens 	2.7.11.1	
4alu	Homo sapiens 	2.7.11.1	
2a1a	Homo sapiens 	2.7.10.2	
2a1a	Homo sapiens 	2.7.11.1	
4an3	Homo sapiens 	2.7.12.2	
4an2	Homo sapiens 	2.7.12.2	
4gz6	Homo sapiens 	2.4.1.255	
1kik	Homo sapiens 	2.7.10.2	
4gz5	Homo sapiens 	2.4.1.255	
1xbt	Homo sapiens 	2.7.1.21	
2a0y	Homo sapiens 	2.4.2.1	
2a0x	Homo sapiens 	2.4.2.1	
4gz3	Homo sapiens 	2.4.1.255	
2a0w	Homo sapiens 	2.4.2.1	
2yak	Homo sapiens 	2.7.11.1	
2a27	Homo sapiens 	2.7.11.1	
4gxk	Homo sapiens 	2.7.7.7	
4gxj	Homo sapiens 	2.7.7.7	
3mfu	Homo sapiens 	2.7.11.1	
4gxi	Homo sapiens 	2.7.7.7	
3mft	Homo sapiens 	2.7.11.1	
3mfs	Homo sapiens 	2.7.11.1	
2yac	Homo sapiens 	2.7.11.21	
3mfr	Homo sapiens 	2.7.11.1	
3mh3	Homo sapiens 	2.7.11.24	
3srv	Homo sapiens 	2.7.10.2	
3mh2	Homo sapiens 	2.7.11.24	
3u4u	Homo sapiens 	2.7.11.1	
3fyk	Homo sapiens 	2.7.11.1	
3mh1	Homo sapiens 	2.7.11.24	
3fyj	Homo sapiens 	2.7.11.1	
3mh0	Homo sapiens 	2.7.11.24	
1xbc	Homo sapiens 	2.7.10.2	
1xbb	Homo sapiens 	2.7.10.2	
1xba	Homo sapiens 	2.7.10.2	
1qty	Homo sapiens 	2.7.10.1	
2a0c	Homo sapiens 	2.7.11.22	
3srh	Homo sapiens 	2.7.1.40	
3srf	Homo sapiens 	2.7.1.40	
3fxz	Homo sapiens 	2.7.11.1	
3srd	Homo sapiens 	2.7.1.40	
3fxx	Homo sapiens 	2.7.10.1	
2lgc	Homo sapiens 	2.7.11.24	
3fxw	Homo sapiens 	2.7.11.1	
2a19	Homo sapiens 	2.7.10.2	
2a19	Homo sapiens 	2.7.11.1	
2rse	Homo sapiens 	2.7.11.1	
2a14	Homo sapiens 	2.1.1.49	
2a14	Homo sapiens 	2.1.1.96	
3fz1	Homo sapiens 	2.7.11.22	
4i9i	Homo sapiens 	2.4.2.30	
3u3r	Homo sapiens Homo sapiens	2.8.2.1	
3sqq	Homo sapiens 	2.7.11.22	
3mek	Homo sapiens 	2.1.1.43	
3u3o	Homo sapiens Homo sapiens	2.8.2.1	
1qsz	Homo sapiens 	2.7.10.1	
3u3m	Homo sapiens Homo sapiens	2.8.2.1	
3u3k	Homo sapiens Homo sapiens	2.8.2.1	
3u3j	Homo sapiens Homo sapiens	2.8.2.1	
1qsv	Homo sapiens 	2.7.10.1	
1s78	Homo sapiens 	2.7.10.1	
1qu6	Homo sapiens 	2.7.10.2	
1qu6	Homo sapiens 	2.7.11.1	
3u3f	Homo sapiens 	2.7.10.2	
1s5o	Homo sapiens 	2.3.1.7	
3u3c	Homo sapiens 	2.7.10.2	
3mdy	Homo sapiens 	2.7.11.30	
3h9r	Homo sapiens 	2.7.11.30	
1kgd	Homo sapiens 	2.7.11.1	
3fwq	Homo sapiens 	2.7.11.1	
3fy2	Homo sapiens 	2.7.10.1	
3u2z	Homo sapiens 	2.7.1.40	
3h9o	Homo sapiens 	2.7.11.1	
3fy0	Homo sapiens 	2.7.11.1	
3u2x	Homo sapiens 	2.4.1.186	
3u2w	Homo sapiens 	2.4.1.186	
3u2v	Homo sapiens 	2.4.1.186	
3h9k	Homo sapiens 	2.1.1.45	
3u2u	Homo sapiens 	2.4.1.186	
3u2t	Homo sapiens 	2.4.1.186	
3sr4	Homo sapiens 	2.1.1.43	
2exm	Homo sapiens 	2.7.11.22	
3h9f	Homo sapiens 	2.7.12.1	
3u2p	Homo sapiens 	2.7.10.1	
2exe	Homo sapiens 	2.7.12.1	
3mdc	Homo sapiens 	2.7.7.7	
2exc	Homo sapiens 	2.7.11.24	
4gw8	Homo sapiens 	2.7.11.1	
3mda	Homo sapiens 	2.7.7.7	
1s63	Homo sapiens 	2.5.1.58	
1s63	Homo sapiens 	2.5.1.59	
3fvx	Homo sapiens 	2.6.1.64	
3fvx	Homo sapiens 	2.6.1.7	
3spa	Homo sapiens 	2.7.7.6	
3h8v	Homo sapiens 	2.7.7	
3fvu	Homo sapiens 	2.6.1.64	
3fvu	Homo sapiens 	2.6.1.7	
1qrk	Homo sapiens 	2.3.2.13	
3fvs	Homo sapiens 	2.6.1.64	
3fvs	Homo sapiens 	2.6.1.7	
2g9x	Homo sapiens 	2.7.11.22	
3h8m	Homo sapiens 	2.7.10.1	
3me3	Homo sapiens 	2.7.1.40	
3fvh	Homo sapiens 	2.7.11.21	
3u1k	Homo sapiens 	2.7.7.8	
4gtu	Homo sapiens 	2.5.1.18	
3soc	Homo sapiens 	2.7.11.30	
3soa	Homo sapiens 	2.7.11.17	
4gv1	Homo sapiens 	2.7.11.1	
3mby	Homo sapiens 	2.7.7.7	
3mbw	Homo sapiens 	2.7.10.1	
3fup	Homo sapiens 	2.7.10.2	
3u0y	Homo sapiens 	2.4.1.37	
3u0y	Homo sapiens 	2.4.1.40	
3u0x	Homo sapiens Human	2.4.1.37	
3u0x	Homo sapiens Human	2.4.1.40	
2lcx	Homo sapiens 	2.7.10.1	
2ex4	Homo sapiens 	2.1.1.244	
2g8n	Homo sapiens 	2.1.1.28	
3mbl	Homo sapiens 	2.7.12.2	
2lcr	Homo sapiens 	2.7.11.30	
2rq8	Homo sapiens 	2.7.11.1	
2le3	Homo sapiens 	2.3.1.21	
4agu	Homo sapiens 	2.7.11.22	
2eva	Homo sapiens 	2.7.11.25	
4gss	Homo sapiens 	2.5.1.18	
3fv8	Homo sapiens 	2.7.11.24	
1qpj	Homo sapiens 	2.7.10.2	
3h6o	Homo sapiens 	2.7.1.40	
4agd	Homo sapiens 	2.7.10.1	
1qpe	Homo sapiens 	2.7.10.2	
4agc	Homo sapiens 	2.7.10.1	
1qpd	Homo sapiens 	2.7.10.2	
1qpc	Homo sapiens 	2.7.10.2	
3smt	Homo sapiens 	2.1.1.43	
2rny	Homo sapiens 	2.3.1.48	
3sms	Homo sapiens 	2.7.1.33	
2rnx	Homo sapiens 	2.3.1.48	
2rnw	Homo sapiens 	2.3.1.48	
3smq	Homo sapiens 	2.1.1	
1ke9	Homo sapiens 	2.7.11.22	
3smp	Homo sapiens 	2.7.1.33	
1ke8	Homo sapiens 	2.7.11.22	
2xzz	Homo sapiens 	2.3.2.13	
1ke7	Homo sapiens 	2.7.11.22	
1ke6	Homo sapiens 	2.7.11.22	
1ke5	Homo sapiens 	2.7.11.22	
2euf	Homo sapiens 	2.7.11.22	
3smj	Homo sapiens 	2.4.2.30	
3smi	Homo sapiens 	2.4.2.30	
2xzs	Homo sapiens 	2.7.11.1	
4gt5	Homo sapiens 	2.7.10.1	
4gt4	Homo sapiens 	2.7.10.1	
4afj	Homo sapiens 	2.7.11.1	
4afj	Homo sapiens 	2.7.11.26	
4afe	Homo sapiens 	2.7.11.1	
3mb7	Homo sapiens 	2.7.11.1	
3mb6	Homo sapiens 	2.7.11.1	
2etr	Homo sapiens 	2.7.11.1	
1s1c	Homo sapiens 	2.7.11.1	
4i4f	Homo sapiens 	2.7.10.2	
3fsk	Homo sapiens 	2.7.11.24	
2lav	Homo sapiens 	2.7.11.1	
3sls	Homo sapiens 	2.7.12.2	
4gra	Homo sapiens 	2.8.2.1	
2etm	Homo sapiens 	2.7.10.2	
3fsf	Homo sapiens 	2.7.11.24	
2etk	Homo sapiens 	2.7.11.1	
4ag8	Homo sapiens 	2.7.10.1	
4i3z	Homo sapiens 	2.7.11.22	
1wzy	Homo sapiens 	2.7.11.24	
1qnt	Homo sapiens 	2.1.1.63	
4ag4	Homo sapiens 	2.7.10.1	
2lah	Homo sapiens 	2.7.11.1	
1kbn	Homo sapiens 	2.5.1.18	
4gs6	Homo sapiens 	2.7.11.25	
2rmk	Homo sapiens 	2.7.11.13	
2xyn	Homo sapiens 	2.7.10.2	
4gs4	Homo sapiens 	2.3.1.108	
1kbh	Homo sapiens 	2.3.1.48	
4i51	Homo sapiens 	2.1.1.43	
2eu9	Homo sapiens 	2.7.12.1	
1qnd	Homo sapiens 	2.3.1.176	
3ma3	Homo sapiens 	2.7.11.1	
2g72	Homo sapiens 	2.1.1.28	
2g71	Homo sapiens 	2.1.1.28	
2g70	Homo sapiens 	2.1.1.28	
4gqb	Homo sapiens 	2.1.1.125	
2esm	Homo sapiens 	2.7.11.1	
3h4d	Homo sapiens 	2.7.7.7	
1qmz	Homo sapiens 	2.7.11.22	
3h4b	Homo sapiens 	2.7.7.7	
3skj	Homo sapiens 	2.7.10.1	
4af3	Homo sapiens 	2.7.11.1	
3skc	Homo sapiens 	2.7.11.1	
3fqs	Homo sapiens 	2.7.10.2	
3fqh	Homo sapiens 	2.7.10.2	
1f5q	Homo sapiens 	2.7.11.22	
2rku	Homo sapiens 	2.7.11.21	
3fqe	Homo sapiens 	2.7.10.2	
4ae9	Homo sapiens 	2.7.11.11	
1qly	Homo sapiens 	2.7.10.2	
3h3c	Homo sapiens 	2.7.10.2	
3h3b	Homo sapiens 	2.7.10.1	
4i1z	Homo sapiens 	2.7.10.1	
4ae6	Homo sapiens 	2.7.11.11	
4acs	Homo sapiens 	2.5.1.18	
2g4c	Homo sapiens 	2.7.7.7	
4acm	Homo sapiens 	2.7.11.22	
4ach	Homo sapiens 	2.7.11.1	
4ach	Homo sapiens 	2.7.11.26	
4acg	Homo sapiens 	2.7.11.1	
4acg	Homo sapiens 	2.7.11.26	
1wxm	Homo sapiens 	2.7.11.1	
4acd	Homo sapiens 	2.7.11.1	
4acd	Homo sapiens 	2.7.11.26	
3h40	Homo sapiens 	2.7.7.7	
4acc	Homo sapiens 	2.7.11.1	
4acc	Homo sapiens 	2.7.11.26	
2g3t	Homo sapiens 	2.3.1.57	
3fr0	Homo sapiens 	2.7.1.2	
3fpm	Homo sapiens 	2.7.11.1	
1f68	Homo sapiens 	2.3.1.48	
1f62	Homo sapiens 	2.7.10.2	
3fpd	Homo sapiens 	2.1.1.43	
2rl5	Homo sapiens 	2.7.10.1	
2xx3	Homo sapiens 	2.7.4.9	
1www	Homo sapiens 	2.7.10.1	
4i24	Homo sapiens 	2.7.10.1	
4abl	Homo sapiens 	2.4.2.30	
4i23	Homo sapiens 	2.7.10.1	
