PDBID	SCIENTIFIC_ORGANISM	EC_NUMBER	
2amy	Homo sapiens 	5.4.2.8	
3odk	Homo sapiens 	5.2.1.8	
3o2y	Homo sapiens 	5.3.99.2	
3odi	Homo sapiens 	5.2.1.8	
4eui	Homo sapiens 	5.3.2.1	
4eui	Homo sapiens 	5.3.3.12	
1n1a	Homo sapiens 	5.2.1.8	
1bck	Homo sapiens 	5.2.1.8	
1ak4	Homo sapiens 	5.2.1.8	
3b9s	Homo sapiens 	5.3.2.1	
3b9s	Homo sapiens 	5.3.3.12	
1a7x	Homo sapiens 	5.2.1.8	
2cyh	Homo sapiens 	5.2.1.8	
1ej9	Homo sapiens 	5.99.1.2	
3f8u	Homo sapiens 	5.3.4.1	
2wwp	Homo sapiens 	5.3.99.2	
4etg	Homo sapiens 	5.3.2.1	
4etg	Homo sapiens 	5.3.3.12	
3kce	Homo sapiens 	5.2.1.8	
2alf	Homo sapiens 	5.2.1.8	
3ce4	Homo sapiens 	5.3.2.1	
3ce4	Homo sapiens 	5.3.3.12	
1yfk	Homo sapiens 	5.4.2.1	
1yfk	Homo sapiens 	5.4.2.4	
1fap	Homo sapiens 	5.2.1.8	
1zxn	Homo sapiens 	5.99.1.3	
1zxm	Homo sapiens 	5.99.1.3	
3b7x	Homo sapiens 	5.2.1.8	
2vcz	Homo sapiens 	5.3.99.2	
2xpb	Homo sapiens 	5.2.1.8	
2xpa	Homo sapiens 	5.2.1.8	
2vcx	Homo sapiens 	5.3.99.2	
3vi7	Homo sapiens 	5.3.99.2	
3o22	Homo sapiens 	5.3.99.2	
2vcw	Homo sapiens 	5.3.99.2	
3bic	Homo sapiens 	5.4.99.2	
2ppp	Homo sapiens 	5.2.1.8	
3vi5	Homo sapiens 	5.3.99.2	
2ppo	Homo sapiens 	5.2.1.8	
2ppn	Homo sapiens 	5.2.1.8	
2vcq	Homo sapiens 	5.3.99.2	
3k0r	Homo sapiens 	5.2.1.8	
3k0q	Homo sapiens 	5.2.1.8	
3k0p	Homo sapiens 	5.2.1.8	
3k0o	Homo sapiens 	5.2.1.8	
3k0n	Homo sapiens 	5.2.1.8	
3k0m	Homo sapiens 	5.2.1.8	
3bj5	Homo sapiens 	5.3.4.1	
1m63	Homo sapiens 	5.2.1.8	
2a9j	Homo sapiens 	5.4.2.1	
2a9j	Homo sapiens 	5.4.2.4	
1kt0	Homo sapiens 	5.2.1.8	
3o19	Homo sapiens 	5.3.99.2	
1xke	Homo sapiens 	5.2.1.8	
3kai	Homo sapiens 	5.2.1.8	
4fm9	Homo sapiens 	5.99.1.3	
3kah	Homo sapiens 	5.2.1.8	
3kag	Homo sapiens 	5.2.1.8	
3kaf	Homo sapiens 	5.2.1.8	
3kad	Homo sapiens 	5.2.1.8	
3kac	Homo sapiens 	5.2.1.8	
2xp9	Homo sapiens 	5.2.1.8	
3kab	Homo sapiens 	5.2.1.8	


