PDBID	SCIENTIFIC_ORGANISM	EC_NUMBER	
2ybs	Homo sapiens 	1.14.11	
2q1l	Homo sapiens 	1.1.1.34	
1hdr	Homo sapiens 	1.5.1.34	
2ybp	Homo sapiens 	1.14.11	
1hdo	Homo sapiens 	1.3.1.24	
1hdo	Homo sapiens 	1.5.1.30	
2ybk	Homo sapiens 	1.14.11	
1nr1	Homo sapiens 	1.4.1.3	
2a1x	Homo sapiens 	1.14.11.18	
3po7	Homo sapiens 	1.4.3.4	
3u78	Homo sapiens 	1.14.11	
2a1t	Homo sapiens 	1.3.8.7	
3u5s	Homo sapiens 	1.8.3.2	
3e6i	Homo sapiens 	1.14.13	
2bw0	Homo sapiens 	1.5.1.6	
1s8c	Homo sapiens 	1.14.99.3	
2ibn	Homo sapiens 	1.13.99.1	
2onp	Homo sapiens 	1.2.1.3	
2ono	Homo sapiens 	1.2.1.3	
2onn	Homo sapiens 	1.2.1.3	
2onm	Homo sapiens 	1.2.1.3	
1he5	Homo sapiens 	1.3.1.24	
1he5	Homo sapiens 	1.5.1.30	
1he4	Homo sapiens 	1.3.1.24	
1he4	Homo sapiens 	1.5.1.30	
1p1v	Homo sapiens 	1.15.1.1	
1he3	Homo sapiens 	1.3.1.24	
1he3	Homo sapiens 	1.5.1.30	
1he2	Homo sapiens 	1.3.1.24	
1he2	Homo sapiens 	1.5.1.30	
2yc0	Homo sapiens 	1.14.11	
2yc0	Homo sapiens 	1.14.11.30	
3u4s	Homo sapiens 	1.14.11	
2ic1	Homo sapiens 	1.13.11.20	
1hd2	Homo sapiens 	1.11.1.15	
4gwk	Homo sapiens 	1.1.1.44	
4gwg	Homo sapiens 	1.1.1.44	
1xan	Homo sapiens 	1.8.1.7	
3sqp	Homo sapiens 	1.8.1.7	
3pm0	Homo sapiens 	1.14.14.1	
3e4e	Homo sapiens 	1.14.13	
6pah	Homo sapiens 	1.14.16.1	
2uxw	Homo sapiens 	1.3.8.9	
4i8v	Homo sapiens 	1.14.14.1	
4ajp	Homo sapiens 	1.1.1.27	
3cqq	Homo sapiens 	1.15.1.1	
3cqp	Homo sapiens 	1.15.1.1	
3mdv	Homo sapiens 	1.14.13.98	
3mdt	Homo sapiens 	1.14.13.98	
3mdr	Homo sapiens 	1.14.13.98	
3mdm	Homo sapiens 	1.14.13.98	
3u2o	Homo sapiens 	1.3.5.2	
3u2m	Homo sapiens 	1.8.3.2	
3h9e	Homo sapiens 	1.2.1.12	
3u2l	Homo sapiens 	1.8.3.2	
3u2c	Homo sapiens 	1.1.1.21	
3h8x	Homo sapiens 	1.14.11.33	
3h8r	Homo sapiens 	1.14.11.33	
3h8q	Homo sapiens 	1.8.1.9	
3h8o	Homo sapiens 	1.14.11.33	
2w8r	Homo sapiens 	1.2.1.24	
2w8q	Homo sapiens 	1.2.1.24	
2w8p	Homo sapiens 	1.2.1.24	
2w8o	Homo sapiens 	1.2.1.24	
1dxo	Homo sapiens 	1.6.5.2	
1qqw	Homo sapiens 	1.11.1.6	
1s3w	Homo sapiens 	1.5.1.3	
2w8n	Homo sapiens 	1.2.1.24	
1s3v	Homo sapiens 	1.5.1.3	
1s3u	Homo sapiens 	1.5.1.3	
3cot	Homo sapiens 	1.3.1.3	
3cos	Homo sapiens 	1.1.1.1	
1twr	Homo sapiens 	1.14.99.3	
3fw1	Homo sapiens 	1.10.99.2	
1twn	Homo sapiens 	1.14.99.3	
4ai9	Homo sapiens 	1.14.11	
1s3e	Homo sapiens 	1.4.3.4	
4ai8	Homo sapiens 	1.14.11	
4ai8	Homo sapiens 	1.14.11.30	
3mbg	Homo sapiens 	1.8.3.2	
1s3b	Homo sapiens 	1.4.3.4	
1s3a	Homo sapiens 	1.6.5.3	
1s3a	Homo sapiens 	1.6.99.3	
2w98	Homo sapiens 	1.3.1.48	
4do0	Homo sapiens 	1.14.11.27	
1s2y	Homo sapiens 	1.4.3.4	
2uw2	Homo sapiens 	1.17.4.1	
1qr6	Homo sapiens 	1.1.1.38	
1s2q	Homo sapiens 	1.4.3.4	
1qr2	Homo sapiens 	1.10.99.2	
3mas	Homo sapiens 	1.1.1.42	
3mc5	Homo sapiens 	1.1.1.21	
3mar	Homo sapiens 	1.1.1.42	
3map	Homo sapiens 	1.1.1.42	
3mao	Homo sapiens 	1.8.4	
3h6k	Homo sapiens 	1.1.1.146	
1s2c	Homo sapiens 	1.1.1.112	
1s2c	Homo sapiens 	1.1.1.188	
1s2c	Homo sapiens 	1.1.1.213	
1s2c	Homo sapiens 	1.1.1.239	
1s2c	Homo sapiens 	1.1.1.64	
1s2c	Homo sapiens 	1.3.1.20	
1s2a	Homo sapiens 	1.1.1.112	
1s2a	Homo sapiens 	1.1.1.188	
1s2a	Homo sapiens 	1.1.1.213	
1s2a	Homo sapiens 	1.1.1.239	
1s2a	Homo sapiens 	1.1.1.64	
1s2a	Homo sapiens 	1.3.1.20	
4grt	Homo sapiens 	1.8.1.7	
1kcw	Homo sapiens 	1.16.3.1	
1s1r	Homo sapiens 	1.1.1.112	
1s1r	Homo sapiens 	1.1.1.188	
1s1r	Homo sapiens 	1.1.1.213	
1s1r	Homo sapiens 	1.1.1.239	
1s1r	Homo sapiens 	1.1.1.64	
1s1r	Homo sapiens 	1.3.1.20	
3mb9	Homo sapiens 	1.1.1.21	
1s1p	Homo sapiens 	1.1.1.112	
1s1p	Homo sapiens 	1.1.1.188	
1s1p	Homo sapiens 	1.1.1.213	
1s1p	Homo sapiens 	1.1.1.239	
1s1p	Homo sapiens 	1.1.1.64	
1s1p	Homo sapiens 	1.3.1.20	
3pfw	Homo sapiens 	1.2.1.12	
2d0u	Homo sapiens 	1.13.11.52	
2d0t	Homo sapiens 	1.13.11.52	
3sn5	Homo sapiens 	1.14.13.17	
3cmf	Homo sapiens 	1.3.1.3	
2bp1	Homo sapiens 	1.1.1	
4gqs	Homo sapiens ALLELIC VARIANT 1B	1.14.13.48	
4gqs	Homo sapiens ALLELIC VARIANT 1B	1.14.13.49	
4gqs	Homo sapiens ALLELIC VARIANT 1B	1.14.13.80	
1kbq	Homo sapiens 	1.6.5.2	
1kbo	Homo sapiens 	1.6.5.2	
1qnm	Homo sapiens 	1.15.1.1	
3frj	Homo sapiens 	1.1.1.146	
2g76	Homo sapiens 	1.1.1.95	
2xxz	Homo sapiens 	1.14.11	
1dtw	Homo sapiens 	1.2.4.4	
1ap6	Homo sapiens 	1.15.1.1	
1ap5	Homo sapiens 	1.15.1.1	
4dl1	Homo sapiens 	1.11.2.2	
2w4q	Homo sapiens 	1.3.1.48	
4djn	Homo sapiens 	1.17.4.1	
4gr1	Homo sapiens 	1.8.1.7	
1ni6	Homo sapiens 	1.14.99.3	
1qmv	Homo sapiens 	1.11.1.15	
1ni4	Homo sapiens 	1.2.4.1	
3fs6	Homo sapiens pDS5	1.5.1.3	
1s13	Homo sapiens 	1.14.99.3	
3pdq	Homo sapiens 	1.14.11	
3pdj	Homo sapiens 	1.1.1.146	
1dsw	Homo sapiens 	1.15.1.1	
4diq	Homo sapiens 	1.14.11.27	
2ble	Homo sapiens 	1.7.1.7	
2w3m	Homo sapiens 	1.5.1.3	
3h2q	Homo sapiens 	1.15.1.1	
3h2p	Homo sapiens 	1.15.1.1	
2w3b	Homo sapiens 	1.5.1.3	
2w3a	Homo sapiens 	1.5.1.3	
1nfb	Homo sapiens 	1.1.1.205	
1gz4	Homo sapiens 	1.1.1.38	
1gz3	Homo sapiens 	1.1.1.38	
2j9f	Homo sapiens 	1.2.4.4	
1f4j	Homo sapiens 	1.11.1.6	
1drf	Homo sapiens 	1.5.1.3	
1tqn	Homo sapiens 	1.14.13.157	
1tqn	Homo sapiens 	1.14.13.32	
1tqn	Homo sapiens 	1.14.13.67	
1tqn	Homo sapiens 	1.14.13.97	
3k91	Homo sapiens 	1.15.1.1	
1qki	Homo sapiens 	1.1.1.49	
2j8t	Homo sapiens 	1.1.1.21	
2hvo	Homo sapiens 	1.1.1.21	
2hvn	Homo sapiens 	1.1.1.21	
4aap	Homo sapiens 	1.14.11.27	
1nf7	Homo sapiens 	1.1.1.205	
2rii	Homo sapiens 	1.11.1.15	
2rii	Homo sapiens 	1.8.98.2	
2xum	Homo sapiens 	1.14.11	
2xum	Homo sapiens 	1.14.11.30	
2xue	Homo sapiens 	1.14.11	
1dqa	Homo sapiens 	1.1.1.34	
2bk5	Homo sapiens 	1.4.3.4	
2bk4	Homo sapiens 	1.4.3.4	
3itk	Homo sapiens 	1.1.1.22	
2bk3	Homo sapiens 	1.4.3.4	
2w0x	Homo sapiens 	1.14.11	
2w0x	Homo sapiens 	1.14.11.30	
2g1m	Homo sapiens 	1.14.11.29	
3pah	Homo sapiens 	1.14.16.1	
2w0u	Homo sapiens 	1.1.3.15	
2obi	Homo sapiens 	1.11.1.12	
2z6m	Homo sapiens 	1.16.3.1	
3k5t	Homo sapiens 	1.4.3.22	
1v1r	Homo sapiens 	1.2.4.4	
3isq	Homo sapiens 	1.13.11.27	
1v1m	Homo sapiens 	1.2.4.4	
2rgz	Homo sapiens 	1.14.99.3	
2hv5	Homo sapiens 	1.1.1.21	
3vln	Homo sapiens 	1.20.4.2	
3vln	Homo sapiens 	1.8.5.1	
2bhl	Homo sapiens 	1.1.1.49	
2z5y	Homo sapiens 	1.4.3.4	
1dq9	Homo sapiens 	1.1.1.34	
2z5x	Homo sapiens 	1.4.3.4	
1dq8	Homo sapiens 	1.1.1.34	
2j6l	Homo sapiens 	1.2.1.3	
2j6l	Homo sapiens 	1.2.1.31	
2j6l	Homo sapiens 	1.2.1.8	
2xsn	Homo sapiens 	1.14.16.2	
3ch6	Homo sapiens 	1.1.1.146	
3lz5	Homo sapiens 	1.1.1.21	
3lz3	Homo sapiens 	1.1.1.21	
2g19	Homo sapiens 	1.14.11.29	
2j5w	Homo sapiens 	1.16.3.1	
4gjz	Homo sapiens 	1.14.11.27	
4gjy	Homo sapiens 	1.14.11.27	
3k4f	Homo sapiens 	1.14.99.3	
1f0y	Homo sapiens 	1.1.1.35	
1dnw	Homo sapiens 	1.11.2.2	
4gl7	Homo sapiens 	1.14.14.1	
4ddr	Homo sapiens 	1.5.1.3	
1dnu	Homo sapiens 	1.11.2.2	
4gl5	Homo sapiens 	1.14.14.1	
3n9z	Homo sapiens 	1.14.15.6	
3n9y	Homo sapiens 	1.14.15.6	
1v16	Homo sapiens 	1.2.4.4	
1v11	Homo sapiens 	1.2.4.4	
2bh9	Homo sapiens 	1.1.1.49	
3k3o	Homo sapiens 	1.14.11.27	
1dnc	Homo sapiens 	1.8.1.7	
3k3n	Homo sapiens 	1.14.11.27	
1dmw	Homo sapiens 	1.14.16.1	
1do8	Homo sapiens 	1.1.1.38	
1f17	Homo sapiens 	1.1.1.35	
2bff	Homo sapiens 	1.2.4.4	
1f14	Homo sapiens 	1.1.1.35	
2bfe	Homo sapiens 	1.2.4.4	
2bfd	Homo sapiens 	1.2.4.4	
1agn	Homo sapiens 	1.1.1.1	
1f12	Homo sapiens 	1.1.1.35	
1i5r	Homo sapiens 	1.1.1.62	
2bfc	Homo sapiens 	1.2.4.4	
2bfb	Homo sapiens 	1.2.4.4	
1gsn	Homo sapiens 	1.8.1.7	
2hrb	Homo sapiens 	1.1.1.184	
3fjo	Homo sapiens 	1.6.2.4	
2bew	Homo sapiens 	1.2.4.4	
2bev	Homo sapiens 	1.2.4.4	
3k2o	Homo sapiens 	1.14.11	
2beu	Homo sapiens 	1.2.4.4	
3fjl	Homo sapiens 	1.3.5.2	
2rdw	Homo sapiens 	1.1.3.15	
3cdb	Homo sapiens 	1.1.1.34	
2bel	Homo sapiens 	1.1.1.146	
3cda	Homo sapiens 	1.1.1.34	
4dbu	Homo sapiens 	1.1.1.112	
4dbu	Homo sapiens 	1.1.1.188	
4dbu	Homo sapiens 	1.1.1.213	
4dbu	Homo sapiens 	1.1.1.239	
4dbu	Homo sapiens 	1.1.1.64	
4dbu	Homo sapiens 	1.3.1.20	
2rdu	Homo sapiens 	1.1.3.15	
2j3n	Homo sapiens 	1.8.1.9	
2rdt	Homo sapiens 	1.1.3.15	
4dbs	Homo sapiens 	1.1.1.112	
4dbs	Homo sapiens 	1.1.1.188	
4dbs	Homo sapiens 	1.1.1.213	
4dbs	Homo sapiens 	1.1.1.239	
4dbs	Homo sapiens 	1.1.1.64	
4dbs	Homo sapiens 	1.3.1.20	
1dls	Homo sapiens 	1.5.1.3	
3ccz	Homo sapiens 	1.1.1.34	
1grt	Homo sapiens 	1.8.1.7	
1dlr	Homo sapiens 	1.5.1.3	
3ccw	Homo sapiens 	1.1.1.34	
3cct	Homo sapiens 	1.1.1.34	
1zy8	Homo sapiens 	1.8.1.4	
1grh	Homo sapiens 	1.8.1.7	
1grg	Homo sapiens 	1.8.1.7	
1grf	Homo sapiens 	1.8.1.7	
1gre	Homo sapiens 	1.8.1.7	
1grb	Homo sapiens 	1.8.1.7	
1gra	Homo sapiens 	1.8.1.7	
3cd7	Homo sapiens 	1.1.1.34	
3cd5	Homo sapiens 	1.1.1.34	
3fj6	Homo sapiens 	1.3.5.2	
3n6w	Homo sapiens 	1.14.11.1	
3ltv	Homo sapiens 	1.15.1.1	
3cd0	Homo sapiens 	1.1.1.34	
1wpq	Homo sapiens 	1.1.1.8	
3n82	Homo sapiens 	1.2.1.3	
3inm	Homo sapiens 	1.1.1.42	
1zx1	Homo sapiens 	1.10.99.2	
3inl	Homo sapiens 	1.2.1.3	
3n80	Homo sapiens 	1.2.1.3	
3inj	Homo sapiens 	1.2.1.3	
1tjc	Homo sapiens 	1.14.11.2	
1ads	Homo sapiens 	1.1.1.21	
3cav	Homo sapiens 	1.3.1.3	
1djl	Homo sapiens 	1.6.1.2	
3cas	Homo sapiens 	1.3.1.3	
3caq	Homo sapiens 	1.3.1.3	
2rbe	Homo sapiens 	1.1.1.146	
1zuq	Homo sapiens 	1.15.1.1	
1zum	Homo sapiens 	1.2.1.3	
1zua	Homo sapiens 	1.1.1	
1gos	Homo sapiens 	1.4.3.4	
2nzl	Homo sapiens 	1.1.3.15	
2j0d	Homo sapiens 	1.14.13.157	
2j0d	Homo sapiens 	1.14.13.32	
2j0d	Homo sapiens 	1.14.13.67	
2j0d	Homo sapiens 	1.14.13.97	
2xml	Homo sapiens 	1.14.11	
1wnt	Homo sapiens 	1.1.1.10	
1dig	Homo sapiens 	1.5.1.5	
1dib	Homo sapiens 	1.5.1.5	
1dia	Homo sapiens 	1.5.1.5	
1qbg	Homo sapiens 	1.6.5.2	
1i0z	Homo sapiens 	1.1.1.27	
1zte	Homo sapiens 	1.15.1.1	
1dht	Homo sapiens 	1.1.1.62	
1jtv	Homo sapiens 	1.1.1.62	
1abn	Homo sapiens 	1.1.1.21	
1zsy	Homo sapiens 	1.3.1.38	
3owx	Homo sapiens 	1.10.99.2	
1zsv	Homo sapiens 	1.3.1.48	
1zsv	Homo sapiens 	1.3.1.74	
1dhf	Homo sapiens 	1.5.1.3	
1zsp	Homo sapiens 	1.15.1.1	
4b8z	Homo sapiens 	1.1.1.271	
1mzf	Homo sapiens 	1.14.11	
1mzf	Homo sapiens 	1.14.11.30	
1mze	Homo sapiens 	1.14.11	
1mze	Homo sapiens 	1.14.11.30	
3lql	Homo sapiens 	1.1.1.21	
4b8w	Homo sapiens 	1.1.1.271	
3lqg	Homo sapiens 	1.1.1.21	
3owh	Homo sapiens 	1.10.99.2	
1wma	Homo sapiens 	1.1.1.184	
1wma	Homo sapiens 	1.1.1.189	
1wma	Homo sapiens 	1.1.1.197	
1l5t	Homo sapiens 	1.16.1.2	
1i10	Homo sapiens 	1.1.1.27	
1dgh	Homo sapiens 	1.11.1.6	
1dgg	Homo sapiens 	1.11.1.6	
1dgf	Homo sapiens 	1.11.1.6	
1dgb	Homo sapiens 	1.11.1.6	
3ox3	Homo sapiens 	1.10.99.2	
3ox2	Homo sapiens 	1.10.99.2	
3ox1	Homo sapiens 	1.10.99.2	
3ovm	Homo sapiens 	1.10.99.2	
4gd4	Homo sapiens 	1.14.11	
4b7k	Homo sapiens 	1.14.11	
4b7k	Homo sapiens 	1.14.11.30	
2xjl	Homo sapiens 	1.15.1.1	
4b7e	Homo sapiens 	1.14.11	
4b7e	Homo sapiens 	1.14.11.30	
2xjk	Homo sapiens 	1.15.1.1	
1tg2	Homo sapiens 	1.14.16.1	
3fco	Homo sapiens 	1.1.1.146	
1teh	Homo sapiens 	1.1.1.1	
1teh	Homo sapiens 	1.1.1.284	
3ouj	Homo sapiens 	1.14.11.29	
3oui	Homo sapiens 	1.14.11.29	
3ouh	Homo sapiens 	1.14.11.29	
1tdw	Homo sapiens 	1.14.16.1	
1l3n	Homo sapiens 	1.15.1.1	
2nvd	Homo sapiens 	1.1.1.21	
1deh	Homo sapiens 	1.1.1.1	
2nvc	Homo sapiens 	1.1.1.21	
3q6o	Homo sapiens 	1.8.3.2	
3rzm	Homo sapiens 	1.14.11.33	
3n0h	Homo sapiens 	1.5.1.3	
3rzl	Homo sapiens 	1.14.11.33	
3rzk	Homo sapiens 	1.14.11.33	
3rzj	Homo sapiens 	1.14.11.33	
3rzh	Homo sapiens 	1.14.11.33	
3rzg	Homo sapiens 	1.14.11.33	
1mvt	Homo sapiens 	1.5.1.3	
3bzu	Homo sapiens 	1.1.1.146	
1mvs	Homo sapiens 	1.5.1.3	
1zq5	Homo sapiens 	1.1.1.112	
1zq5	Homo sapiens 	1.1.1.188	
1zq5	Homo sapiens 	1.1.1.213	
1zq5	Homo sapiens 	1.1.1.239	
1zq5	Homo sapiens 	1.1.1.64	
1zq5	Homo sapiens 	1.3.1.20	
2p85	Homo sapiens 	1.14.14.1	
3byz	Homo sapiens 	1.1.1.146	
3q67	Homo sapiens 	1.1.1.21	
3q65	Homo sapiens 	1.1.1.21	
1znq	Homo sapiens 	1.2.1.12	
1l1f	Homo sapiens 	1.4.1.3	
3llk	Homo sapiens 	1.8.3.2	
3lli	Homo sapiens 	1.8.3.2	
2hi4	Homo sapiens 	1.14.14.1	
2xfu	Homo sapiens 	1.4.3.4	
2xfq	Homo sapiens 	1.4.3.4	
2xfp	Homo sapiens 	1.4.3.4	
2nsi	Homo sapiens 	1.14.13.39	
2xfo	Homo sapiens 	1.4.3.4	
2xfn	Homo sapiens 	1.4.3.4	
4b3e	Homo sapiens 	1.15.1.1	
2p5b	Homo sapiens 	1.14.11	
2qxw	Homo sapiens 	1.1.1.21	
1zmd	Homo sapiens 	1.8.1.4	
1zmc	Homo sapiens 	1.8.1.4	
2p4k	Homo sapiens 	1.15.1.1	
3rx4	Homo sapiens 	1.1.1.21	
3rx3	Homo sapiens 	1.1.1.21	
3rx2	Homo sapiens 	1.1.1.21	
1msd	Homo sapiens 	1.15.1.1	
2qwx	Homo sapiens 	1.10.99.2	
3rvh	Homo sapiens 	1.14.11	
2xdp	Homo sapiens 	1.14.11	
1mrq	Homo sapiens 	1.1.1.112	
1mrq	Homo sapiens 	1.1.1.149	
1mrq	Homo sapiens 	1.3.1.20	
2c9v	Homo sapiens 	1.15.1.1	
2c9u	Homo sapiens 	1.15.1.1	
2c9s	Homo sapiens 	1.15.1.1	
3oq1	Homo sapiens 	1.1.1.146	
3d8c	Homo sapiens 	1.14.11	
3d8c	Homo sapiens 	1.14.11.30	
2qx9	Homo sapiens 	1.10.99.2	
2qx8	Homo sapiens 	1.10.99.2	
3ruk	Homo sapiens 	1.14.99.9	
2qx6	Homo sapiens 	1.10.99.2	
2qx4	Homo sapiens 	1.10.99.2	
2hdj	Homo sapiens 	1.1.1.213	
2hdj	Homo sapiens 	1.3.1.20	
1gg5	Homo sapiens 	1.6.5.2	
2hdh	Homo sapiens 	1.1.1.35	
3buv	Homo sapiens 	1.3.1.3	
3bur	Homo sapiens 	1.3.1.3	
1r9o	Homo sapiens 	1.14.13.48	
1r9o	Homo sapiens 	1.14.13.49	
1r9o	Homo sapiens 	1.14.13.80	
3uzz	Homo sapiens 	1.3.1.3	
2xcg	Homo sapiens 	1.4.3.4	
3uzy	Homo sapiens 	1.3.1.3	
1pwm	Homo sapiens 	1.1.1.21	
3uzx	Homo sapiens 	1.3.1.3	
1pwl	Homo sapiens 	1.1.1.21	
3uzw	Homo sapiens 	1.3.1.3	
3buc	Homo sapiens 	1.14.11.33	
2he3	Homo sapiens 	1.11.1.9	
3ibd	Homo sapiens 	1.14.14.1	
2p31	Homo sapiens 	1.11.1.9	
3btz	Homo sapiens 12q24.11	1.14.11.33	
3onc	Homo sapiens 	1.1.1.21	
3bty	Homo sapiens 12q24.11	1.14.11.33	
3onb	Homo sapiens 	1.1.1.21	
3btx	Homo sapiens 12q24.11	1.14.11.33	
3bv7	Homo sapiens 	1.3.1.3	
3q19	Homo sapiens 	1.20.4.2	
3q19	Homo sapiens 	1.8.5.1	
3q18	Homo sapiens 	1.20.4.2	
3q18	Homo sapiens 	1.8.5.1	
3t5w	Homo sapiens 	1.15.1.1	
2aw5	Homo sapiens 	1.1.1.40	
2hbu	Homo sapiens 	1.14.11.29	
2hbt	Homo sapiens 	1.14.11.29	
2nnx	Homo sapiens 	1.15.1.1	
2qtz	Homo sapiens 	1.16.1.8	
1wci	Homo sapiens 	1.2.4.4	
3uyj	Homo sapiens 	1.14.11.27	
2nnj	Homo sapiens 	1.14.14.1	
2qtl	Homo sapiens 	1.16.1.8	
2nni	Homo sapiens 	1.14.14.1	
2nnh	Homo sapiens 	1.14.14.1	
4e4h	Homo sapiens 	1.14.11.27	
3d5q	Homo sapiens 	1.1.1.146	
3bu0	Homo sapiens 12q24.11	1.14.11.33	
3lfm	Homo sapiens 	1.14.11	
2c6q	Homo sapiens 	1.7.1.7	
3lfl	Homo sapiens 	1.20.4.2	
3lfl	Homo sapiens 	1.8.5.1	
3olj	Homo sapiens 	1.17.4.1	
2dzj	Homo sapiens 	1.3.1.93	
3uxh	Homo sapiens 	1.10.99.2	
1ptz	Homo sapiens 	1.15.1.1	
3uxe	Homo sapiens 	1.10.99.2	
2kgi	Homo sapiens 	1.14.11	
1szx	Homo sapiens 	1.15.1.1	
3t3z	Homo sapiens 	1.14.13	
1mp0	Homo sapiens 	1.1.1.1	
1mp0	Homo sapiens 	1.1.1.284	
3d4n	Homo sapiens 	1.1.1.146	
3t3x	Homo sapiens 	1.16.3.1	
3lep	Homo sapiens 	1.1.1.21	
3t3t	Homo sapiens 	1.16.3.1	
2c76	Homo sapiens 	1.4.3.4	
3rqs	Homo sapiens 	1.1.1.35	
3t3s	Homo sapiens 	1.14.14.1	
2c75	Homo sapiens 	1.4.3.4	
3len	Homo sapiens 	1.1.1.21	
3t3r	Homo sapiens 	1.14.14.1	
3exi	Homo sapiens 	1.2.4.1	
3t3q	Homo sapiens 	1.14.14.1	
2c73	Homo sapiens 	1.4.3.4	
